,0
0,Saya sangat menyukai game ini Tingkatkan terusss Performance nya Soalnya saya sering afk gara Lag nya jaringan Padahal memori masih byk nya Gb ruang kosong Tolong min ditingkatkan konektivitasnya iya utk Hp Standar agar dapat bermain lebih baik lagi
1,Semenjak update UI baru yang KATANYA lebih baik dan lebih hemat penyimpanan malah jadi penyebab lag parah Udah beberapa hari dan hampir seminggu main selalu lag padahal jaringan WIFI baik baik aja sampai beli kuota nih tapi masih aja lag parah pas di dalam gameplay Soal penyimpanan emang bener lebih kecil dari sebelumnya tapi tetap aja kadang di tetap di paksa download data tampilan skin di ingame yang bagi saya pribadi itu ga begitu penting Perbaiki lagi lah moonton sistem jaringannya
2,Update UI yang berat grafik mengalami penurunan redesignrevamp model hero yang sangat aneh semua hero memiliki wajah yang sama tidak ada yang unik dari setiap tampilan hero seperti model buatan AI Sistem gameplay diubah menjadi permainan cepat sehingga banyak hero atau item yang tidak seimbang
3,Bisa sedikit di perjelas untuk sistem Ini saya berkali kali main selalu saja kalau mau menang pasti lag parah mau pakai wifi mau pakai data Terus kalau emang bukan dari sistem kesalahanya minimal di fungsikan lah ajubanding nya masak udah ngasih alesan credit skor tetep gak nambahperbaiki lah masalah jaringan jangan skin terus yang di tambah jaringan di telantarin
4,Kenapa draft selalu dapat team goblokkk semua Sering update tapi vidio highlight tidak ada gambar cuma suara payah Buka pengaturan kenapa yang di tuju highlight padahal tujuan utama pilih pgtran tidak ke lihat vidio saja Sudah ke vidio tp g ada gambar cuma suara
5,Tampilan UI nya Hapus saja GPU jadi Berat Untuk Update Resource Otomatis Hilangkan  Itu Membuat CacheSampah data Makin Banyak  Membuat Delay Layar  Patah  Cuy Hape Diatas  Juta belum mampu bermain Lancar Koneksi Stabil  Rate  jg masih Lag Ada apa Dengan Kalian  Cuan  HD gk penting Utamakan Nyaman TOD  Toh Hadiah Gratisan  Event kebanyakan isinya Sampah  Buat Player  Sayangi Uang kalian Top Up itu gk Berguna 
6,Heloo boss tolong kalo mau update itu di pastikan dulu walaupun sudah ada advance server tapi update selalu terkesan tidak imbang setelah update pasti selalu banyak bug yang terjadi baik di luar maupun di dalam game sering terjadi adalah drop frame rate saat setelah update  padahal jaringan aman dan tersambung dengan wifi double jaringan Saran saya daripada update interface mendingan update map yang lebih oke atau mungkin map dimunculkan fow yang lebih jelas dalam map
7,Sebenarnya game ini bagus cuman mohon untuk memperbaiki macthmaking nya moonton terutama pada rekan tim sehingga bisa seimbang jangan ngasih musuh yang jago sedangkan rekan tim kaya bot susah untuk menaikkan bintang apalagi di rank banyak ku temui rekan tim yang tidak mau bekerja sama ada yang nge feed dari early sampai late game bahkan main semaunya sendiri Tolong untuk pihak developer untuk memperbaiki sistem macthmaking Dan pada season  sering terjadi frame
8,Lebih baik pas S tidak banyak bug jaringan stabil di game tidak berat Di season  ini banyak perubahan membuat kami tidak nyaman bermain Terutama yg memiliki hp yg minim ram Saya menggunakan jaringan ganda wifi serta selular pun tetap terasa lag jaringan buruk atau tidak stabil masalahnya dimana Ram gb memori telepon tersedia gb memory external tersedia gb tapi tetap kena lag dan berat saat bermain Bukan kualitas HD saja yg kami inginkan tapi kenyamanan saat bermain jg
9,Jaringan tidak stabil dan apknya semakin berat Tolong ciptakan fitur untuk memilih jenis resource yang lebih spesifik yang ingin di download dan kembalikan fitur pause download resource Mungkin saja jaringan lambat karena bermain sambil download resource Dan dengan seperti itu mungkin apknya akan jadi jauh lebih ringan sehingga yang hp kentang bisa main dgn nyaman juga
10,Mohon kerjasama tolong perbaikan masalah sinyal disaat war merah ijo terus tapi disaat mati langsung bajus dan lagi tolong dipertimbangkan lagi rekan tim sangat tidak seimbang dengan musuhnya Mobile legends sekarang makin berat Menurut saya gamenya udah bagus seru banyak pelajaran yg bisa diambil
11,Kenapa setelah update kualitas koneksi jadi buruk Jaringan G terdeteksi di bar atas tapi lag ketika war memori lega Hape  jutaan cuma game ini yang di install Masih aja lag Rata kanan pengaturan defaultnya ku turunkan jadi sedang sama aja kualitasnya gt Padahal untuk nonton YouTube lancar Satu lagi fitur highlight kok hilang setelah update Creation camp juga ada bug di mode brawl gak bisa masuk match Mentok di loading match Harus matikan hp baru bisa batalin match Tolong sege
